brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
5,1,1,0,4,1,256,0,2,32,0,0,3,0,0,40990,4,1,1
3,1,1,0,4,1,256,0,2,64,0,2,0,0,0,39990,3,44,2
5,1,1,1,4,1,256,0,2,64,0,2,3,0,0,43990,2,0,0
1,1,1,1,4,1,256,0,2,64,0,2,0,0,0,36990,3,70,9
3,1,1,1,8,1,256,0,2,64,0,0,0,0,0,48500,2,0,0
1,1,1,1,8,1,256,0,2,64,0,0,3,0,0,48990,2,0,0
1,1,0,7,4,4,0,512,2,32,0,0,3,0,0,23490,3,632,92
4,1,1,5,4,1,256,0,2,64,0,0,0,1,1,54238,3,71,8
1,1,1,0,8,1,512,0,2,64,0,0,0,0,0,37990,3,990,108
4,1,1,1,8,1,512,0,2,64,0,2,0,0,1,42990,3,158,18
4,1,1,1,8,1,512,0,2,64,0,2,0,0,1,42990,3,681,59
1,1,1,0,4,1,512,0,2,64,0,0,0,0,0,35990,3,130,12
1,1,1,1,8,1,512,0,2,64,0,0,0,0,0,42990,3,30,4
1,1,1,1,8,5,512,0,2,32,0,0,0,1,1,51990,3,6,2
1,1,1,1,8,1,512,0,2,64,0,0,0,0,0,48990,3,174,30
1,1,1,1,8,1,512,0,2,64,0,0,0,0,0,42990,3,40,7
5,1,1,0,8,1,512,0,2,64,0,2,0,0,0,38990,2,13,1
3,1,1,1,8,1,512,0,2,64,0,2,3,0,0,45990,3,184,29
4,1,1,0,8,1,512,0,2,64,0,2,0,0,1,42490,3,1296,126
4,1,1,1,8,1,512,0,2,64,0,2,0,0,1,43970,3,571,56
1,1,1,0,4,1,512,0,2,64,0,2,0,0,1,39990,3,2551,297
6,1,1,1,8,1,512,0,2,64,0,2,3,0,0,48990,3,17,3
4,1,1,1,8,1,512,0,2,64,0,0,0,0,1,54990,3,35,3
6,1,1,0,8,1,512,0,2,64,0,2,3,0,0,40990,3,118,17
1,1,1,1,8,1,512,0,2,64,0,2,0,0,1,41990,2,0,0
5,1,1,1,8,1,512,0,2,64,0,2,0,1,0,54990,3,245,34
1,1,1,1,8,1,512,0,2,64,0,0,0,0,1,44990,3,2058,305
4,1,1,1,8,1,512,0,2,64,0,0,0,0,0,41250,3,117,11
4,1,1,1,8,1,512,0,2,64,0,2,3,0,0,44990,2,0,0
1,1,1,1,8,1,512,0,2,64,0,0,0,0,0,42990,3,74,11
3,1,1,1,8,1,512,0,2,64,0,0,0,1,0,60790,3,10,1
4,1,1,1,8,1,512,0,2,64,0,0,3,0,0,45650,3,39,4
3,1,1,0,8,1,512,0,2,64,0,2,0,0,1,41990,2,29,7
3,1,1,0,8,1,512,0,2,64,0,2,0,0,0,45490,3,43,4
1,1,1,1,8,1,512,0,2,64,0,2,0,0,1,44990,2,0,0
5,1,1,1,8,1,512,0,2,64,0,2,1,0,1,42990,3,984,99
4,1,1,1,4,1,512,0,2,64,0,2,0,0,1,45490,3,523,66
4,1,1,0,4,1,512,0,2,32,0,0,3,0,0,38799,3,30,1
4,1,1,1,4,1,512,0,2,64,0,0,0,1,1,69267,2,0,0
1,1,1,1,4,1,512,0,2,64,0,0,0,0,1,51649,2,0,0
4,1,1,1,4,1,512,0,2,64,0,2,0,0,1,47990,3,1605,215
1,1,1,0,4,1,512,0,2,64,0,0,0,0,0,40990,3,4008,519
1,1,1,0,4,1,512,0,2,64,0,2,0,0,1,42990,3,1869,234
1,1,1,1,4,1,512,0,2,64,0,0,0,0,0,44890,2,7,0
1,1,1,0,4,1,512,0,2,64,0,0,0,0,0,41490,3,4008,519
4,1,1,1,4,1,512,0,2,32,0,2,0,0,0,50990,2,0,0
